[06/Oct/2023 17:07:07] INFO [django.utils.autoreload:677] Watching for file changes with StatReloader
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:330] Waiting for apps ready_event.
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:342] Apps ready_event triggered. Sending autoreload_started signal.
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\boyle\Masaüstü\E-commerce - notpublish\webapp\templates with glob **/*.
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\boyle\Masaüstü\E-commerce - notpublish\templates with glob **/*.
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\boyle\Masaüstü\E-commerce - notpublish\locale with glob **/*.mo.
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\boyle\Masaüstü\E-commerce - notpublish\webapp\locale with glob **/*.mo.
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\email\feedparser.py first seen with mtime 1662376652.0
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\template\context.py first seen with mtime 1664119479.7090745
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\core\checks\caches.py first seen with mtime 1664119479.5296917
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\mimetypes.py first seen with mtime 1662376652.0
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\core\servers\basehttp.py first seen with mtime 1664119479.573655
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\asyncio\locks.py first seen with mtime 1662376652.0
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\contrib\auth\validators.py first seen with mtime 1664119478.1459408
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\urllib\parse.py first seen with mtime 1662376652.0
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\core\files\base.py first seen with mtime 1664119479.5377612
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\forms\utils.py first seen with mtime 1664119479.6495535
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site.py first seen with mtime 1662376652.0
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\views\csrf.py first seen with mtime 1664119479.7612636
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\DLLs\_lzma.pyd first seen with mtime 1662376696.0
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\http\response.py first seen with mtime 1664119479.702264
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\shortcuts.py first seen with mtime 1664119477.3540053
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\contrib\admin\helpers.py first seen with mtime 1664119477.6166792
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\utils\version.py first seen with mtime 1664119479.756258
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\email\_parseaddr.py first seen with mtime 1662376652.0
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\contrib\staticfiles\management\__init__.py first seen with mtime 1664119479.5142214
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\views\__init__.py first seen with mtime 1664119479.7612636
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\core\__init__.py first seen with mtime 1664119479.5182438
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\types.py first seen with mtime 1662376652.0
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\encodings\cp1252.py first seen with mtime 1662376652.0
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\PIL\__init__.py first seen with mtime 1664199205.7996511
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\urllib\error.py first seen with mtime 1662376652.0
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\db\migrations\utils.py first seen with mtime 1664119479.614053
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\colorama\win32.py first seen with mtime 1664119468.4448662
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\utils\autoreload.py first seen with mtime 1664119479.7361684
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\email\policy.py first seen with mtime 1662376652.0
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\db\models\fields\related.py first seen with mtime 1664119479.6322546
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\db\__init__.py first seen with mtime 1664119479.575158
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\views\generic\__init__.py first seen with mtime 1664119479.7686682
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1664119477.0673182
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\conf\locale\__init__.py first seen with mtime 1664119477.3612611
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\middleware\cache.py first seen with mtime 1664119479.703265
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\asyncio\subprocess.py first seen with mtime 1662376652.0
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\contrib\admin\checks.py first seen with mtime 1664119477.613863
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\weakref.py first seen with mtime 1662376652.0
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\Masaüstü\E-commerce - notpublish\webapp\urls.py first seen with mtime 1696599909.0666256
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\hashlib.py first seen with mtime 1662376652.0
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\core\serializers\__init__.py first seen with mtime 1664119479.569651
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\psycopg2\_ipaddress.py first seen with mtime 1685274866.2234097
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\core\exceptions.py first seen with mtime 1664119479.5192451
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\core\checks\security\base.py first seen with mtime 1664119479.5357087
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\views\decorators\debug.py first seen with mtime 1664119479.7666655
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\core\mail\__init__.py first seen with mtime 1664119479.5462806
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\db\backends\base\schema.py first seen with mtime 1664119479.583671
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\core\files\utils.py first seen with mtime 1664119479.5427663
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\utils\ipv6.py first seen with mtime 1664119479.7477388
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\utils\timesince.py first seen with mtime 1664119479.753743
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\contrib\auth\base_user.py first seen with mtime 1664119478.1374168
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\email\utils.py first seen with mtime 1662376652.0
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\db\models\fields\mixins.py first seen with mtime 1664119479.6312537
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\forms\forms.py first seen with mtime 1664119479.6465502
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\gzip.py first seen with mtime 1662376652.0
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\contrib\sites\shortcuts.py first seen with mtime 1664119479.375172
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\lzma.py first seen with mtime 1662376652.0
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\core\wsgi.py first seen with mtime 1664119479.5222483
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1664119479.7706704
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\psycopg2\_json.py first seen with mtime 1685274866.2234097
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\contrib\admin\widgets.py first seen with mtime 1664119477.619683
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\html\__init__.py first seen with mtime 1662376652.0
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\sqlparse\keywords.py first seen with mtime 1664119477.060199
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\sre_parse.py first seen with mtime 1662376652.0
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\psycopg2\_psycopg.cp310-win_amd64.pyd first seen with mtime 1685274866.2364213
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\ctypes\__init__.py first seen with mtime 1662376652.0
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\views\generic\list.py first seen with mtime 1664119479.7716713
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\db\backends\base\introspection.py first seen with mtime 1664119479.581669
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\core\management\color.py first seen with mtime 1664119479.5532897
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\utils\connection.py first seen with mtime 1664119479.738184
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\keyword.py first seen with mtime 1662376652.0
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\db\models\functions\comparison.py first seen with mtime 1664119479.6352565
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\DLLs\_ctypes.pyd first seen with mtime 1662376694.0
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\template\__init__.py first seen with mtime 1664119479.7070718
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\sqlparse\formatter.py first seen with mtime 1664119477.0591989
[06/Oct/2023 17:07:07] DEBUG [django.utils.autoreload:394] File C:\Users\boyle\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\contrib\admin\apps.py first seen with mtime 1664119477.6128619
